#Release 12.1 - par M.53d (nt)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Tue Apr 23 16:17:01 2024

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       sumavg_dp_map.ncd
#OUTPUT FILE:      sumavg_dp_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
T7,ptr2<0>,IOB,IO_L46N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T8,result<19>,IOB,IO_L31N_GCLK30_D15_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
T9,result<20>,IOB,IO_L32P_GCLK29_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
T10,result<15>,IOB,IO_L29N_GCLK2_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
T11,result<5>,IOB,IO_L16N_VREF_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
T12,result<6>,IOB,IO_L19P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
T13,ptr1<5>,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T14,ptr1<8>,IOB,IO_L12P_D1_MISO2_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T15,ptr1<1>,IOB,IO_L1N_M0_CMPMISO_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T16,,,GND,,,,,,,,,,,,
T17,sel_CNT,IOB,IO_L51P_M1DQ12_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T18,div_start,IOB,IO_L51N_M1DQ13_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U1,count_eq_L,IOB,IO_L32N_M3DQ15_3,OUTPUT,LVCMOS25*,3,12,,,,,UNLOCATED,NO,NONE,
U2,load_CNT,IOB,IO_L32P_M3DQ14_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U3,ptr2<11>,IOB,IO_L65P_INIT_B_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U4,,,VCCO_2,,,2,,,,,2.50,,,,
U5,ptr2<5>,IOB,IO_L49P_D3_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U6,,,GND,,,,,,,,,,,,
U7,result<26>,IOB,IO_L43P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
U8,result<24>,IOB,IO_L41P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
U9,,,VCCO_2,,,2,,,,,2.50,,,,
U10,result<16>,IOB,IO_L30P_GCLK1_D13_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
U11,result<12>,IOB,IO_L23P_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
U12,,,GND,,,,,,,,,,,,
U13,result<0>,IOB,IO_L14P_D11_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
U14,,,VCCO_2,,,2,,,,,2.50,,,,
U15,ptr1<6>,IOB,IO_L5P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U16,ptr1<2>,IOB,IO_L2P_CMPCLK_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U17,load_R_X,IOB,IO_L52P_M1DQ14_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U18,sel_R_Y,IOB,IO_L52N_M1DQ15_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,,,PROGRAM_B_2,,,,,,,,,,,,
V3,mem_addr<0>,IOB,IO_L65N_CSO_B_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,YES,NONE,
V4,ptr2<10>,IOB,IO_L63N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V5,ptr2<6>,IOB,IO_L49N_D4_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V6,result<31>,IOB,IO_L45N_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
V7,result<27>,IOB,IO_L43N_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
V8,result<25>,IOB,IO_L41N_VREF_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
V9,result<21>,IOB,IO_L32N_GCLK28_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
V10,result<17>,IOB,IO_L30N_GCLK0_USERCCLK_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
V11,result<13>,IOB,IO_L23N_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
V12,result<7>,IOB,IO_L19N_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
V13,result<1>,IOB,IO_L14N_D12_2,OUTPUT,LVCMOS25*,2,12,,,,,UNLOCATED,NO,NONE,
V14,ptr1<9>,IOB,IO_L12N_D2_MISO3_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V15,ptr1<7>,IOB,IO_L5N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V16,ptr1<3>,IOB,IO_L2N_CMPMOSI_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V17,,,DONE_2,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
